split,n,valid_search_cf_rate,real_beats_best_valid_cf_rate,mean_rank_delta,support@5_drop_rate,duplicate_cf_rate,invalid_same_retrieval_rate,mean_candidates,passes_thresholds
train,458,0.9912663755458515,0.7991266375545851,403.63656387665196,0.7314410480349345,0.0,0.003050263029927943,98.78165938864629,True
dev,98,1.0,0.8367346938775511,407.88775510204084,0.7040816326530612,0.0,0.0006119202056051891,83.37755102040816,True
test,64,0.96875,0.84375,473.7903225806452,0.703125,0.0,0.0,55.546875,True
