method,exact_match,token_f1,accuracy,avg_tool_calls,avg_search_rounds,avg_latency,answer_per_tool_call,tool_call_success_rate,invalid_action_rate,over_search_rate,under_search_rate,local_ig_mean,local_ig_std,future_action_ig_mean,future_action_ig_std,propagated_return_mean,propagated_return_std,positive_reward_ratio,reward_final_correctness_correlation,reward_mean_text_search,reward_mean_stop,reward_mean_image_search
direct_vqa,0.375,0.375,0.375,0.0,0.0,1.049041748046875e-05,0.375,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
prompted_search,0.875,0.875,0.875,2.0,2.0,9.390711784362793e-05,0.4375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outcome_only_rl,0.875,0.875,0.875,2.0,2.0,9.840726852416992e-05,0.4375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.12668699166809694,0.937619684401597,0.012500000000000004,2.025
local_ig_only,0.875,0.875,0.875,2.0,2.0,0.0002269744873046875,0.4375,1.0,0.0,0.0,0.0,0.5414586119256988,0.7547903083050036,0.0,0.0,0.5414586119256988,0.7547903083050036,0.625,0.12668699166809694,0.937619684401597,0.012500000000000004,2.025
dagig_lite_with_gate_cost,0.875,0.875,0.875,2.0,2.0,9.706616401672363e-05,0.4375,1.0,0.0,0.0,0.0,0.5414586119256988,0.7547903083050036,0.5417711119256987,0.7548739340531991,0.5414586119256988,0.7547903083050036,0.625,0.12668699166809694,0.937619684401597,0.012500000000000004,2.025
